country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Madagascar,,,,,,,,,0.0069,0.0116,0.0167,0.0212,0.0243,0.03,0.132,0.158,0.1,0.0932,0.101,0.0936,0.099,0.106,0.111,0.104,0.107,0.124
Maldives,,,,,0.0651,0.17,0.238,1.06,2,3.21,4.57,4.42,4.31,4.72,4.67,5.09,4.8,5.41,6.61,7.97,10,10.9,12.7,14.8,17.4,18.7
Mexico,,,0.0152,0.05,0.228,0.416,1.01,1.82,2.82,4.14,6.82,8.61,9.31,10,11.2,10.8,10.9,12.2,13,13.8,14.7,15.4,17.8,19.3,20.3,20.1
Marshall Islands,,,,,,,,,,,,,,,,2.53,2.76,2.05,2.1,2.15,2.21,2.27,2.34,2.28,2.35,
North Macedonia,,,,,,,,0.595,1.75,4.83,8.74,11.3,12.6,13.8,15.4,16.8,17.7,18.4,19.5,20.4,22.3,23.9,25.4,26.9,28,29.2
Mali,,,,,,,,,0.0221,0.0221,0.0353,0.0534,0.0503,0.0515,0.0255,0.0167,,0.0188,0.112,0.0777,0.592,0.676,1.12,0.648,0.774,
Malta,,,0.414,2.27,4.36,5.57,9.16,12.4,12.7,20.1,23.4,27,29.8,30.3,31.8,33.4,34.9,36.7,37.6,38.8,39.6,40.2,41.1,42.2,43.4,44.3
Myanmar,,,,,,,,0.00051,0.00829,0.0134,0.0207,0.0478,0.0468,0.0443,,,,0.0644,0.174,0.215,0.247,0.923,1.3,1.67,2.1,2.8
Montenegro,,,,,,,,1.21,,2.82,6.28,9.38,10.2,10.2,13.9,15.1,16.5,17.9,18.4,22.2,25.8,29.2,30.3,31.2,31.9,32
Mongolia,,,,0.00198,0.0036,0.0198,0.0354,0.0702,0.135,0.284,1.23,1.5,2.84,3.43,3.94,4.9,6.77,6.99,7.44,9.18,9.67,9.84,9.35,11.4,12.9,14.6
Mozambique,,,,,,,,,0.0106,0.0299,0.051,0.0614,0.0753,0.12,0.121,0.115,0.143,0.16,0.17,0.219,0.242,0.234,0.227,0.207,0.198,
Mauritania,,,,,,,,0.00558,0.0323,0.129,0.185,0.206,0.171,0.175,0.185,0.202,0.208,0.243,0.273,0.3,0.305,0.242,0.401,0.406,0.415,0.59
Mauritius,,,,,0.0231,0.0953,0.205,0.429,2.21,2.77,4.12,5.7,7.32,9.19,10.9,12.6,14.1,15.3,16.5,19.1,21.3,23.9,25.2,25.7,26.2,26.9
Malawi,,,,,,0.00057,0.0011,0.00315,,0.00688,0.00705,0.00718,0.00732,0.0113,0.00788,0.0543,0.0515,0.0343,0.0495,0.06,0.0613,0.0597,0.0627,0.0671,0.0724,0.0796
Malaysia,,,,0.017,0.0801,0.447,1,1.87,2.84,3.83,4.82,5.52,7.32,8.6,9.85,9.74,9.97,9.81,8.55,8.31,8.19,8.86,9.91,10.9,12.2,13
Namibia,,,,,,,,0.00681,0.00994,0.0127,0.0156,0.023,0.447,0.82,1.1,1.59,1.78,2.97,2.64,2.62,2.44,2.6,2.89,3.18,3.29,3.52
New Caledonia,,,,0.058,0.301,0.705,2.14,3.93,6.3,8.1,10,12.9,14.6,16,17.6,19.4,20.7,19.6,,,,19.4,19.4,19.3,19.4,
Niger,,,,,,,0.00058,0.00154,0.00243,0.00326,0.00402,0.00627,0.00906,0.0123,0.0206,0.0346,0.156,0.136,0.0373,0.0403,,0.0479,0.0506,,,0.108
Nigeria,,,,,,,,0.00034,,0.035,0.043,0.0506,0.0595,,0.0081,0.00831,0.00847,0.00823,0.0552,0.0554,0.0361,0.0398,0.0305,0.0302,0.0434,0.0513
Nicaragua,,,0.0139,0.0315,0.045,0.0845,0.0948,0.197,0.351,0.501,0.775,1.39,1.28,1.46,1.72,2.2,1.84,1.89,2.84,3.33,3.01,3.36,4.42,4.51,5.01,5.43
Netherlands,0.48,,1.62,2.88,7.19,12.1,19.5,24.9,31.5,33.3,35,36.7,37.7,38.6,39.3,40,40.2,41.1,42,42.1,42.5,42.5,42.7,42.9,43.6,43.3
Curaçao,,,,,,,,,,,,,,20.1,22.1,22.7,23.4,24,25.5,29.3,28.5,28.1,31.6,32.6,32.9,31.5
Norway,,,0.519,1.96,4.52,8.74,14.6,21.4,26.7,30.9,33.1,34.5,35.2,36.1,37,37.6,38.5,39.5,40.2,41,41.5,42.3,44.4,44.9,45.7,45.4
Nepal,,,,,,,,,0.00363,0.0409,0.0445,0.0629,0.22,0.345,0.838,1.13,0.906,1.09,0.802,1.8,2.82,3.63,4.38,4.31,4.83,
Nauru,,,,,,,,,,,,,9.46,,,,,,,,,,,,9.96,
New Zealand,,,0.121,0.444,1.1,2.06,4.69,7.76,11.2,20.2,21.5,23.8,25.1,26.9,28.8,29.5,31.2,31.4,32.5,32.9,33.6,34,34.8,35.3,36.3,37.9
Oman,,,,,0.00415,0.0057,0.0273,0.527,0.777,0.759,1.18,1.43,1.93,2.41,3.24,4.1,4.4,5.47,6.35,7.48,9.17,10.2,11.4,11.6,10.9,10.9
Pakistan,,,,,,,,0.00832,0.0148,0.0245,0.0887,0.201,0.396,0.572,0.73,0.771,0.937,0.825,1.13,1.04,0.953,0.882,1.04,1.23,1.28,1.36
